id,sede_id,numero_sala,n_butacas
SL0007580,S00000976,4,50
SL0007581,S00000976,5,50
SL0007582,S00000976,6,20
SL0007583,S00000976,7,50
SL0007584,S00000976,8,50
SL0007585,S00000977,1,35
SL0007586,S00000977,2,35
SL0007587,S00000977,3,30
SL0007588,S00000977,4,45
SL0007589,S00000977,5,20
SL0007590,S00000977,6,45
SL0007591,S00000977,7,50
SL0007592,S00000977,8,35
SL0007593,S00000978,1,45
SL0007594,S00000978,2,30
SL0007595,S00000978,3,45
SL0007596,S00000978,4,30
SL0007597,S00000978,5,50
SL0007598,S00000978,6,45
SL0007599,S00000978,7,20
SL0007600,S00000978,8,45
SL0007601,S00000978,9,50
SL0007602,S00000978,10,30
SL0007603,S00000979,1,30
SL0007604,S00000979,2,45
SL0007605,S00000979,3,50
SL0007606,S00000979,4,45
SL0007607,S00000979,5,20
SL0007608,S00000979,6,50
SL0007609,S00000979,7,20
SL0007610,S00000979,8,20
SL0007611,S00000980,1,20
SL0007612,S00000980,2,20
SL0007613,S00000980,3,50
SL0007614,S00000980,4,45
SL0007615,S00000980,5,50
SL0007616,S00000981,1,35
SL0007617,S00000981,2,45
SL0007618,S00000981,3,50
SL0007619,S00000981,4,35
SL0007620,S00000981,5,35
SL0007621,S00000982,1,35
SL0007622,S00000982,2,20
SL0007623,S00000982,3,35
SL0007624,S00000982,4,20
SL0007625,S00000982,5,50
SL0007626,S00000983,1,50
SL0007627,S00000983,2,50
SL0007628,S00000983,3,45
SL0007629,S00000983,4,45
SL0007630,S00000983,5,30
SL0007631,S00000983,6,45
SL0007632,S00000983,7,20
SL0007633,S00000983,8,35
SL0007634,S00000983,9,30
SL0007635,S00000983,10,30
SL0007636,S00000984,1,50
SL0007637,S00000984,2,20
SL0007638,S00000984,3,35
SL0007639,S00000984,4,50
SL0007640,S00000984,5,20
SL0007641,S00000985,1,20
SL0007642,S00000985,2,20
SL0007643,S00000985,3,45
SL0007644,S00000985,4,30
SL0007645,S00000985,5,30
SL0007646,S00000985,6,30
SL0007647,S00000985,7,35
SL0007648,S00000985,8,45
SL0007649,S00000986,1,20
SL0007650,S00000986,2,35
SL0007651,S00000986,3,30
SL0007652,S00000986,4,30
SL0007653,S00000986,5,45
SL0007654,S00000986,6,30
SL0007655,S00000986,7,50
SL0007656,S00000986,8,20
SL0007657,S00000986,9,20
SL0007658,S00000986,10,50
SL0007659,S00000987,1,20
SL0007660,S00000987,2,35
SL0007661,S00000987,3,50
SL0007662,S00000987,4,30
SL0007663,S00000987,5,45
SL0007664,S00000987,6,30
SL0007665,S00000987,7,50
SL0007666,S00000987,8,45
SL0007667,S00000988,1,45
SL0007668,S00000988,2,20
SL0007669,S00000988,3,50
SL0007670,S00000988,4,35
SL0007671,S00000988,5,30
SL0007672,S00000989,1,35
SL0007673,S00000989,2,20
SL0007674,S00000989,3,45
SL0007675,S00000989,4,45
SL0007676,S00000989,5,20
SL0007677,S00000990,1,30
SL0007678,S00000990,2,20
SL0007679,S00000990,3,20
SL0007680,S00000990,4,30
SL0007681,S00000990,5,35
SL0007682,S00000990,6,45
SL0007683,S00000990,7,45
SL0007684,S00000990,8,50
SL0007685,S00000991,1,20
SL0007686,S00000991,2,30
SL0007687,S00000991,3,30
SL0007688,S00000991,4,50
SL0007689,S00000991,5,30
SL0007690,S00000991,6,20
SL0007691,S00000991,7,30
SL0007692,S00000991,8,30
SL0007693,S00000992,1,50
SL0007694,S00000992,2,35
SL0007695,S00000992,3,20
SL0007696,S00000992,4,35
SL0007697,S00000992,5,20
SL0007698,S00000992,6,35
SL0007699,S00000992,7,30
SL0007700,S00000992,8,50
SL0007701,S00000993,1,20
SL0007702,S00000993,2,30
SL0007703,S00000993,3,50
SL0007704,S00000993,4,35
SL0007705,S00000993,5,20
SL0007706,S00000994,1,45
SL0007707,S00000994,2,50
SL0007708,S00000994,3,50
SL0007709,S00000994,4,30
SL0007710,S00000994,5,30
SL0007711,S00000995,1,45
SL0007712,S00000995,2,30
SL0007713,S00000995,3,50
SL0007714,S00000995,4,30
SL0007715,S00000995,5,35
SL0007716,S00000995,6,45
SL0007717,S00000995,7,50
SL0007718,S00000995,8,50
SL0007719,S00000995,9,45
SL0007720,S00000995,10,30
SL0007721,S00000996,1,20
SL0007722,S00000996,2,45
SL0007723,S00000996,3,20
SL0007724,S00000996,4,45
SL0007725,S00000996,5,35
SL0007726,S00000996,6,50
SL0007727,S00000996,7,50
SL0007728,S00000996,8,30
SL0007729,S00000997,1,45
SL0007730,S00000997,2,30
SL0007731,S00000997,3,30
SL0007732,S00000997,4,35
SL0007733,S00000997,5,50
SL0007734,S00000997,6,50
SL0007735,S00000997,7,20
SL0007736,S00000997,8,30
SL0007737,S00000998,1,45
SL0007738,S00000998,2,50
SL0007739,S00000998,3,30
SL0007740,S00000998,4,20
SL0007741,S00000998,5,30
SL0007742,S00000999,1,45
SL0007743,S00000999,2,45
SL0007744,S00000999,3,35
SL0007745,S00000999,4,20
SL0007746,S00000999,5,20
SL0007747,S00001000,1,20
SL0007748,S00001000,2,30
SL0007749,S00001000,3,20
SL0007750,S00001000,4,50
SL0007751,S00001000,5,35
SL0007752,S00001001,1,45
SL0007753,S00001001,2,35
SL0007754,S00001001,3,30
SL0007755,S00001001,4,20
SL0007756,S00001001,5,35
SL0007757,S00001001,6,30
SL0007758,S00001001,7,30
SL0007759,S00001001,8,35
SL0007760,S00001002,1,20
SL0007761,S00001002,2,35
SL0007762,S00001002,3,35
SL0007763,S00001002,4,50
SL0007764,S00001002,5,35
SL0007765,S00001003,1,20
SL0007766,S00001003,2,50
SL0007767,S00001003,3,50
SL0007768,S00001003,4,20
SL0007769,S00001003,5,30
SL0007770,S00001003,6,20
SL0007771,S00001003,7,35
SL0007772,S00001003,8,50
SL0007773,S00001003,9,20
SL0007774,S00001003,10,45
SL0007775,S00001004,1,30
SL0007776,S00001004,2,30
SL0007777,S00001004,3,20
SL0007778,S00001004,4,35
SL0007779,S00001004,5,20
SL0007780,S00001004,6,50
SL0007781,S00001004,7,35
SL0007782,S00001004,8,50
SL0007783,S00001004,9,30
SL0007784,S00001004,10,30
SL0007785,S00001005,1,50
SL0007786,S00001005,2,20
SL0007787,S00001005,3,50
SL0007788,S00001005,4,45
SL0007789,S00001005,5,45
SL0007790,S00001005,6,35
SL0007791,S00001005,7,30
SL0007792,S00001005,8,20
SL0007793,S00001005,9,45
SL0007794,S00001005,10,30
SL0007795,S00001006,1,20
SL0007796,S00001006,2,35
SL0007797,S00001006,3,45
SL0007798,S00001006,4,30
SL0007799,S00001006,5,50
SL0007800,S00001006,6,20
SL0007801,S00001006,7,50
SL0007802,S00001006,8,35
SL0007803,S00001007,1,30
SL0007804,S00001007,2,35
SL0007805,S00001007,3,45
SL0007806,S00001007,4,20
SL0007807,S00001007,5,45
SL0007808,S00001007,6,20
SL0007809,S00001007,7,20
SL0007810,S00001007,8,45
SL0007811,S00001008,1,30
SL0007812,S00001008,2,35
SL0007813,S00001008,3,30
SL0007814,S00001008,4,30
SL0007815,S00001008,5,35
SL0007816,S00001008,6,45
SL0007817,S00001008,7,30
SL0007818,S00001008,8,35
SL0007819,S00001008,9,30
SL0007820,S00001008,10,30
SL0007821,S00001009,1,20
SL0007822,S00001009,2,45
SL0007823,S00001009,3,50
SL0007824,S00001009,4,45
SL0007825,S00001009,5,20
SL0007826,S00001009,6,20
SL0007827,S00001009,7,50
SL0007828,S00001009,8,30
SL0007829,S00001010,1,35
SL0007830,S00001010,2,45
SL0007831,S00001010,3,20
SL0007832,S00001010,4,45
SL0007833,S00001010,5,30
SL0007834,S00001010,6,35
SL0007835,S00001010,7,35
SL0007836,S00001010,8,35
SL0007837,S00001011,1,20
SL0007838,S00001011,2,20
SL0007839,S00001011,3,50
SL0007840,S00001011,4,30
SL0007841,S00001011,5,30
SL0007842,S00001011,6,50
SL0007843,S00001011,7,30
SL0007844,S00001011,8,35
SL0007845,S00001012,1,35
SL0007846,S00001012,2,30
SL0007847,S00001012,3,30
SL0007848,S00001012,4,45
SL0007849,S00001012,5,50
SL0007850,S00001013,1,20
SL0007851,S00001013,2,20
SL0007852,S00001013,3,35
SL0007853,S00001013,4,45
SL0007854,S00001013,5,30
SL0007855,S00001013,6,35
SL0007856,S00001013,7,45
SL0007857,S00001013,8,20
SL0007858,S00001013,9,35
SL0007859,S00001013,10,30
SL0007860,S00001014,1,35
SL0007861,S00001014,2,45
SL0007862,S00001014,3,30
SL0007863,S00001014,4,30
SL0007864,S00001014,5,30
SL0007865,S00001014,6,50
SL0007866,S00001014,7,45
SL0007867,S00001014,8,35
SL0007868,S00001014,9,45
SL0007869,S00001014,10,45
SL0007870,S00001015,1,30
SL0007871,S00001015,2,30
SL0007872,S00001015,3,35
SL0007873,S00001015,4,35
SL0007874,S00001015,5,35
SL0007875,S00001016,1,35
SL0007876,S00001016,2,35
SL0007877,S00001016,3,35
SL0007878,S00001016,4,35
SL0007879,S00001016,5,20
SL0007880,S00001016,6,45
SL0007881,S00001016,7,50
SL0007882,S00001016,8,45
SL0007883,S00001016,9,20
SL0007884,S00001016,10,35
SL0007885,S00001017,1,35
SL0007886,S00001017,2,50
SL0007887,S00001017,3,30
SL0007888,S00001017,4,35
SL0007889,S00001017,5,45
SL0007890,S00001017,6,45
SL0007891,S00001017,7,35
SL0007892,S00001017,8,35
SL0007893,S00001017,9,30
SL0007894,S00001017,10,20
SL0007895,S00001018,1,35
SL0007896,S00001018,2,50
SL0007897,S00001018,3,35
SL0007898,S00001018,4,35
SL0007899,S00001018,5,20
SL0007900,S00001019,1,45
SL0007901,S00001019,2,35
SL0007902,S00001019,3,20
SL0007903,S00001019,4,30
SL0007904,S00001019,5,30
SL0007905,S00001019,6,45
SL0007906,S00001019,7,20
SL0007907,S00001019,8,20
SL0007908,S00001020,1,45
SL0007909,S00001020,2,20
SL0007910,S00001020,3,30
SL0007911,S00001020,4,20
SL0007912,S00001020,5,35
SL0007913,S00001020,6,30
SL0007914,S00001020,7,45
SL0007915,S00001020,8,30
SL0007916,S00001021,1,35
SL0007917,S00001021,2,50
SL0007918,S00001021,3,50
SL0007919,S00001021,4,20
SL0007920,S00001021,5,50
SL0007921,S00001021,6,20
SL0007922,S00001021,7,35
SL0007923,S00001021,8,20
SL0007924,S00001022,1,35
SL0007925,S00001022,2,45
SL0007926,S00001022,3,20
SL0007927,S00001022,4,45
SL0007928,S00001022,5,30
SL0007929,S00001023,1,45
SL0007930,S00001023,2,50
SL0007931,S00001023,3,45
SL0007932,S00001023,4,50
SL0007933,S00001023,5,20
SL0007934,S00001024,1,35
SL0007935,S00001024,2,20
SL0007936,S00001024,3,30
SL0007937,S00001024,4,45
SL0007938,S00001024,5,20
SL0007939,S00001024,6,45
SL0007940,S00001024,7,20
SL0007941,S00001024,8,20
SL0007942,S00001025,1,30
SL0007943,S00001025,2,45
SL0007944,S00001025,3,20
SL0007945,S00001025,4,45
SL0007946,S00001025,5,35
SL0007947,S00001025,6,45
SL0007948,S00001025,7,50
SL0007949,S00001025,8,20
SL0007950,S00001025,9,30
SL0007951,S00001025,10,45
SL0007952,S00001026,1,20
SL0007953,S00001026,2,20
SL0007954,S00001026,3,20
SL0007955,S00001026,4,45
SL0007956,S00001026,5,45
SL0007957,S00001027,1,20
SL0007958,S00001027,2,20
SL0007959,S00001027,3,45
SL0007960,S00001027,4,20
SL0007961,S00001027,5,50
SL0007962,S00001028,1,45
SL0007963,S00001028,2,50
SL0007964,S00001028,3,50
SL0007965,S00001028,4,30
SL0007966,S00001028,5,45
SL0007967,S00001029,1,50
SL0007968,S00001029,2,20
SL0007969,S00001029,3,45
SL0007970,S00001029,4,20
SL0007971,S00001029,5,35
SL0007972,S00001030,1,35
SL0007973,S00001030,2,50
SL0007974,S00001030,3,35
SL0007975,S00001030,4,20
SL0007976,S00001030,5,30
SL0007977,S00001030,6,35
SL0007978,S00001030,7,20
SL0007979,S00001030,8,35
SL0007980,S00001031,1,20
SL0007981,S00001031,2,20
SL0007982,S00001031,3,45
SL0007983,S00001031,4,50
SL0007984,S00001031,5,45
SL0007985,S00001031,6,20
SL0007986,S00001031,7,35
SL0007987,S00001031,8,30
SL0007988,S00001032,1,45
SL0007989,S00001032,2,20
SL0007990,S00001032,3,50
SL0007991,S00001032,4,20
SL0007992,S00001032,5,50
SL0007993,S00001033,1,35
SL0007994,S00001033,2,50
SL0007995,S00001033,3,45
SL0007996,S00001033,4,50
SL0007997,S00001033,5,35
SL0007998,S00001034,1,35
SL0007999,S00001034,2,35
SL0008000,S00001034,3,30
SL0008001,S00001034,4,45
SL0008002,S00001034,5,50
SL0008003,S00001034,6,50
SL0008004,S00001034,7,35
SL0008005,S00001034,8,35
SL0008006,S00001034,9,50
SL0008007,S00001034,10,35
SL0008008,S00001035,1,50
SL0008009,S00001035,2,45
SL0008010,S00001035,3,30
SL0008011,S00001035,4,20
SL0008012,S00001035,5,20
SL0008013,S00001036,1,35
SL0008014,S00001036,2,20
SL0008015,S00001036,3,20
SL0008016,S00001036,4,30
SL0008017,S00001036,5,45
SL0008018,S00001036,6,45
SL0008019,S00001036,7,20
SL0008020,S00001036,8,30
SL0008021,S00001036,9,35
SL0008022,S00001036,10,20
SL0008023,S00001037,1,30
SL0008024,S00001037,2,45
SL0008025,S00001037,3,50
SL0008026,S00001037,4,45
SL0008027,S00001037,5,50
SL0008028,S00001037,6,30
SL0008029,S00001037,7,30
SL0008030,S00001037,8,30
SL0008031,S00001037,9,30
SL0008032,S00001037,10,50
SL0008033,S00001038,1,30
SL0008034,S00001038,2,20
SL0008035,S00001038,3,35
SL0008036,S00001038,4,50
SL0008037,S00001038,5,30
SL0008038,S00001038,6,50
SL0008039,S00001038,7,20
SL0008040,S00001038,8,50
SL0008041,S00001038,9,30
SL0008042,S00001038,10,45
SL0008043,S00001039,1,50
SL0008044,S00001039,2,50
SL0008045,S00001039,3,45
SL0008046,S00001039,4,50
SL0008047,S00001039,5,20
SL0008048,S00001039,6,35
SL0008049,S00001039,7,50
SL0008050,S00001039,8,20
SL0008051,S00001040,1,20
SL0008052,S00001040,2,20
SL0008053,S00001040,3,20
SL0008054,S00001040,4,50
SL0008055,S00001040,5,45
SL0008056,S00001040,6,20
SL0008057,S00001040,7,35
SL0008058,S00001040,8,35
SL0008059,S00001040,9,20
SL0008060,S00001040,10,50
SL0008061,S00001041,1,50
SL0008062,S00001041,2,30
SL0008063,S00001041,3,45
SL0008064,S00001041,4,20
SL0008065,S00001041,5,50
SL0008066,S00001042,1,45
SL0008067,S00001042,2,35
SL0008068,S00001042,3,45
SL0008069,S00001042,4,30
SL0008070,S00001042,5,45
SL0008071,S00001042,6,45
SL0008072,S00001042,7,30
SL0008073,S00001042,8,30
SL0008074,S00001042,9,45
SL0008075,S00001042,10,50
SL0008076,S00001043,1,30
SL0008077,S00001043,2,35
SL0008078,S00001043,3,20
SL0008079,S00001043,4,35
SL0008080,S00001043,5,35
SL0008081,S00001043,6,35
SL0008082,S00001043,7,20
SL0008083,S00001043,8,35
SL0008084,S00001044,1,20
SL0008085,S00001044,2,50
SL0008086,S00001044,3,50
SL0008087,S00001044,4,30
SL0008088,S00001044,5,20
SL0008089,S00001045,1,20
SL0008090,S00001045,2,45
SL0008091,S00001045,3,30
SL0008092,S00001045,4,20
SL0008093,S00001045,5,30
SL0008094,S00001046,1,20
SL0008095,S00001046,2,20
SL0008096,S00001046,3,35
SL0008097,S00001046,4,30
SL0008098,S00001046,5,30
SL0008099,S00001046,6,45
SL0008100,S00001046,7,30
SL0008101,S00001046,8,30
SL0008102,S00001046,9,45
SL0008103,S00001046,10,45
SL0008104,S00001047,1,45
SL0008105,S00001047,2,35
SL0008106,S00001047,3,35
SL0008107,S00001047,4,20
SL0008108,S00001047,5,35
SL0008109,S00001047,6,30
SL0008110,S00001047,7,30
SL0008111,S00001047,8,20
SL0008112,S00001047,9,20
SL0008113,S00001047,10,50
SL0008114,S00001048,1,50
SL0008115,S00001048,2,45
SL0008116,S00001048,3,45
SL0008117,S00001048,4,20
SL0008118,S00001048,5,50
SL0008119,S00001048,6,50
SL0008120,S00001048,7,20
SL0008121,S00001048,8,50
SL0008122,S00001049,1,35
SL0008123,S00001049,2,30
SL0008124,S00001049,3,50
SL0008125,S00001049,4,50
SL0008126,S00001049,5,30
SL0008127,S00001049,6,30
SL0008128,S00001049,7,50
SL0008129,S00001049,8,20
SL0008130,S00001050,1,35
SL0008131,S00001050,2,30
SL0008132,S00001050,3,30
SL0008133,S00001050,4,45
SL0008134,S00001050,5,50
SL0008135,S00001050,6,30
SL0008136,S00001050,7,35
SL0008137,S00001050,8,50
SL0008138,S00001050,9,35
SL0008139,S00001050,10,35
SL0008140,S00001051,1,50
SL0008141,S00001051,2,50
SL0008142,S00001051,3,20
SL0008143,S00001051,4,50
SL0008144,S00001051,5,30
SL0008145,S00001052,1,20
SL0008146,S00001052,2,50
SL0008147,S00001052,3,50
SL0008148,S00001052,4,50
SL0008149,S00001052,5,50
SL0008150,S00001052,6,20
SL0008151,S00001052,7,20
SL0008152,S00001052,8,50
SL0008153,S00001053,1,50
SL0008154,S00001053,2,35
SL0008155,S00001053,3,35
SL0008156,S00001053,4,20
SL0008157,S00001053,5,30
SL0008158,S00001053,6,35
SL0008159,S00001053,7,35
SL0008160,S00001053,8,30
SL0008161,S00001053,9,50
SL0008162,S00001053,10,30
SL0008163,S00001054,1,45
SL0008164,S00001054,2,45
SL0008165,S00001054,3,50
SL0008166,S00001054,4,50
SL0008167,S00001054,5,35
SL0008168,S00001055,1,35
SL0008169,S00001055,2,35
SL0008170,S00001055,3,50
SL0008171,S00001055,4,45
SL0008172,S00001055,5,20
SL0008173,S00001055,6,35
SL0008174,S00001055,7,30
SL0008175,S00001055,8,20
SL0008176,S00001055,9,50
SL0008177,S00001055,10,45
SL0008178,S00001056,1,35
SL0008179,S00001056,2,35
SL0008180,S00001056,3,45
SL0008181,S00001056,4,35
SL0008182,S00001056,5,35
SL0008183,S00001056,6,35
SL0008184,S00001056,7,35
SL0008185,S00001056,8,30
SL0008186,S00001057,1,35
SL0008187,S00001057,2,45
SL0008188,S00001057,3,35
SL0008189,S00001057,4,50
SL0008190,S00001057,5,35
SL0008191,S00001057,6,30
SL0008192,S00001057,7,20
SL0008193,S00001057,8,30
SL0008194,S00001058,1,35
SL0008195,S00001058,2,45
SL0008196,S00001058,3,35
SL0008197,S00001058,4,35
SL0008198,S00001058,5,45
SL0008199,S00001059,1,45
SL0008200,S00001059,2,35
SL0008201,S00001059,3,30
SL0008202,S00001059,4,35
SL0008203,S00001059,5,50
SL0008204,S00001060,1,35
SL0008205,S00001060,2,50
SL0008206,S00001060,3,35
SL0008207,S00001060,4,35
SL0008208,S00001060,5,45
SL0008209,S00001061,1,45
SL0008210,S00001061,2,35
SL0008211,S00001061,3,45
SL0008212,S00001061,4,20
SL0008213,S00001061,5,50
SL0008214,S00001062,1,45
SL0008215,S00001062,2,35
SL0008216,S00001062,3,50
SL0008217,S00001062,4,30
SL0008218,S00001062,5,35
SL0008219,S00001062,6,30
SL0008220,S00001062,7,30
SL0008221,S00001062,8,20
SL0008222,S00001063,1,45
SL0008223,S00001063,2,30
SL0008224,S00001063,3,35
SL0008225,S00001063,4,50
SL0008226,S00001063,5,35
SL0008227,S00001063,6,45
SL0008228,S00001063,7,35
SL0008229,S00001063,8,30
SL0008230,S00001063,9,30
SL0008231,S00001063,10,50
SL0008232,S00001064,1,30
SL0008233,S00001064,2,20
SL0008234,S00001064,3,20
SL0008235,S00001064,4,35
SL0008236,S00001064,5,45
SL0008237,S00001064,6,30
SL0008238,S00001064,7,50
SL0008239,S00001064,8,50
SL0008240,S00001065,1,45
SL0008241,S00001065,2,35
SL0008242,S00001065,3,35
SL0008243,S00001065,4,35
SL0008244,S00001065,5,20
SL0008245,S00001065,6,35
SL0008246,S00001065,7,20
SL0008247,S00001065,8,45
SL0008248,S00001066,1,30
SL0008249,S00001066,2,20
SL0008250,S00001066,3,30
SL0008251,S00001066,4,35
SL0008252,S00001066,5,30
SL0008253,S00001066,6,30
SL0008254,S00001066,7,30
SL0008255,S00001066,8,50
SL0008256,S00001067,1,35
SL0008257,S00001067,2,20
SL0008258,S00001067,3,45
SL0008259,S00001067,4,20
SL0008260,S00001067,5,50
SL0008261,S00001067,6,35
SL0008262,S00001067,7,30
SL0008263,S00001067,8,20
SL0008264,S00001067,9,50
SL0008265,S00001067,10,50
SL0008266,S00001068,1,45
SL0008267,S00001068,2,20
SL0008268,S00001068,3,50
SL0008269,S00001068,4,30
SL0008270,S00001068,5,35
SL0008271,S00001069,1,45
SL0008272,S00001069,2,45
SL0008273,S00001069,3,20
SL0008274,S00001069,4,30
SL0008275,S00001069,5,30
SL0008276,S00001069,6,20
SL0008277,S00001069,7,35
SL0008278,S00001069,8,30
SL0008279,S00001070,1,45
SL0008280,S00001070,2,45
SL0008281,S00001070,3,20
SL0008282,S00001070,4,20
SL0008283,S00001070,5,20
SL0008284,S00001070,6,30
SL0008285,S00001070,7,45
SL0008286,S00001070,8,30
SL0008287,S00001070,9,50
SL0008288,S00001070,10,20
SL0008289,S00001071,1,30
SL0008290,S00001071,2,20
SL0008291,S00001071,3,30
SL0008292,S00001071,4,50
SL0008293,S00001071,5,35
SL0008294,S00001071,6,30
SL0008295,S00001071,7,45
SL0008296,S00001071,8,30
SL0008297,S00001072,1,35
SL0008298,S00001072,2,20
SL0008299,S00001072,3,30
SL0008300,S00001072,4,50
SL0008301,S00001072,5,50
SL0008302,S00001073,1,20
SL0008303,S00001073,2,20
SL0008304,S00001073,3,20
SL0008305,S00001073,4,30
SL0008306,S00001073,5,30
SL0008307,S00001073,6,50
SL0008308,S00001073,7,35
SL0008309,S00001073,8,50
SL0008310,S00001074,1,35
SL0008311,S00001074,2,50
SL0008312,S00001074,3,30
SL0008313,S00001074,4,50
SL0008314,S00001074,5,50
SL0008315,S00001075,1,45
SL0008316,S00001075,2,50
SL0008317,S00001075,3,45
SL0008318,S00001075,4,50
SL0008319,S00001075,5,20
SL0008320,S00001075,6,30
SL0008321,S00001075,7,30
SL0008322,S00001075,8,50
SL0008323,S00001076,1,20
SL0008324,S00001076,2,35
SL0008325,S00001076,3,35
SL0008326,S00001076,4,20
SL0008327,S00001076,5,20
SL0008328,S00001076,6,45
SL0008329,S00001076,7,35
SL0008330,S00001076,8,45
SL0008331,S00001076,9,35
SL0008332,S00001076,10,50
SL0008333,S00001077,1,35
SL0008334,S00001077,2,20
SL0008335,S00001077,3,20
SL0008336,S00001077,4,30
SL0008337,S00001077,5,30
SL0008338,S00001077,6,45
SL0008339,S00001077,7,20
SL0008340,S00001077,8,50
SL0008341,S00001078,1,30
SL0008342,S00001078,2,45
SL0008343,S00001078,3,20
SL0008344,S00001078,4,45
SL0008345,S00001078,5,20
SL0008346,S00001079,1,50
SL0008347,S00001079,2,30
SL0008348,S00001079,3,50
SL0008349,S00001079,4,45
SL0008350,S00001079,5,45
SL0008351,S00001079,6,50
SL0008352,S00001079,7,45
SL0008353,S00001079,8,30
SL0008354,S00001079,9,20
SL0008355,S00001079,10,50
SL0008356,S00001080,1,30
SL0008357,S00001080,2,20
SL0008358,S00001080,3,35
SL0008359,S00001080,4,20
SL0008360,S00001080,5,20
SL0008361,S00001080,6,30
SL0008362,S00001080,7,50
SL0008363,S00001080,8,45
SL0008364,S00001081,1,45
SL0008365,S00001081,2,35
SL0008366,S00001081,3,50
SL0008367,S00001081,4,20
SL0008368,S00001081,5,20
SL0008369,S00001081,6,45
SL0008370,S00001081,7,50
SL0008371,S00001081,8,35
SL0008372,S00001081,9,30
SL0008373,S00001081,10,45
SL0008374,S00001082,1,30
SL0008375,S00001082,2,20
SL0008376,S00001082,3,30
SL0008377,S00001082,4,30
SL0008378,S00001082,5,30
SL0008379,S00001083,1,30
SL0008380,S00001083,2,50
SL0008381,S00001083,3,30
SL0008382,S00001083,4,30
SL0008383,S00001083,5,20
SL0008384,S00001083,6,35
SL0008385,S00001083,7,35
SL0008386,S00001083,8,45
SL0008387,S00001083,9,35
SL0008388,S00001083,10,35
SL0008389,S00001084,1,50
SL0008390,S00001084,2,45
SL0008391,S00001084,3,45
SL0008392,S00001084,4,50
SL0008393,S00001084,5,35
SL0008394,S00001084,6,30
SL0008395,S00001084,7,35
SL0008396,S00001084,8,45
SL0008397,S00001085,1,20
SL0008398,S00001085,2,35
SL0008399,S00001085,3,50
SL0008400,S00001085,4,30
SL0008401,S00001085,5,30
SL0008402,S00001085,6,50
SL0008403,S00001085,7,30
SL0008404,S00001085,8,45
SL0008405,S00001085,9,50
SL0008406,S00001085,10,45
SL0008407,S00001086,1,35
SL0008408,S00001086,2,20
SL0008409,S00001086,3,35
SL0008410,S00001086,4,45
SL0008411,S00001086,5,45
SL0008412,S00001087,1,45
SL0008413,S00001087,2,50
SL0008414,S00001087,3,50
SL0008415,S00001087,4,20
SL0008416,S00001087,5,45
SL0008417,S00001087,6,30
SL0008418,S00001087,7,50
SL0008419,S00001087,8,50
SL0008420,S00001088,1,20
SL0008421,S00001088,2,50
SL0008422,S00001088,3,50
SL0008423,S00001088,4,35
SL0008424,S00001088,5,45
SL0008425,S00001089,1,20
SL0008426,S00001089,2,35
SL0008427,S00001089,3,30
SL0008428,S00001089,4,30
SL0008429,S00001089,5,30
SL0008430,S00001089,6,20
SL0008431,S00001089,7,35
SL0008432,S00001089,8,30
SL0008433,S00001089,9,20
SL0008434,S00001089,10,20
SL0008435,S00001090,1,45
SL0008436,S00001090,2,20
SL0008437,S00001090,3,30
SL0008438,S00001090,4,45
SL0008439,S00001090,5,45
SL0008440,S00001091,1,45
SL0008441,S00001091,2,30
SL0008442,S00001091,3,45
SL0008443,S00001091,4,45
SL0008444,S00001091,5,30
SL0008445,S00001091,6,50
SL0008446,S00001091,7,30
SL0008447,S00001091,8,45
SL0008448,S00001091,9,35
SL0008449,S00001091,10,20
SL0008450,S00001092,1,30
SL0008451,S00001092,2,20
SL0008452,S00001092,3,45
SL0008453,S00001092,4,30
SL0008454,S00001092,5,30
SL0008455,S00001092,6,35
SL0008456,S00001092,7,20
SL0008457,S00001092,8,35
SL0008458,S00001092,9,50
SL0008459,S00001092,10,30
SL0008460,S00001093,1,20
SL0008461,S00001093,2,30
SL0008462,S00001093,3,20
SL0008463,S00001093,4,20
SL0008464,S00001093,5,35
SL0008465,S00001093,6,30
SL0008466,S00001093,7,35
SL0008467,S00001093,8,30
SL0008468,S00001093,9,30
SL0008469,S00001093,10,50
SL0008470,S00001094,1,45
SL0008471,S00001094,2,20
SL0008472,S00001094,3,20
SL0008473,S00001094,4,45
SL0008474,S00001094,5,50
SL0008475,S00001095,1,20
SL0008476,S00001095,2,20
SL0008477,S00001095,3,45
SL0008478,S00001095,4,30
SL0008479,S00001095,5,30
SL0008480,S00001096,1,50
SL0008481,S00001096,2,30
SL0008482,S00001096,3,45
SL0008483,S00001096,4,35
SL0008484,S00001096,5,35
SL0008485,S00001096,6,50
SL0008486,S00001096,7,50
SL0008487,S00001096,8,45
SL0008488,S00001097,1,50
SL0008489,S00001097,2,45
SL0008490,S00001097,3,20
SL0008491,S00001097,4,30
SL0008492,S00001097,5,20
SL0008493,S00001097,6,30
SL0008494,S00001097,7,35
SL0008495,S00001097,8,35
SL0008496,S00001097,9,35
SL0008497,S00001097,10,30
SL0008498,S00001098,1,50
SL0008499,S00001098,2,50
SL0008500,S00001098,3,30
SL0008501,S00001098,4,45
SL0008502,S00001098,5,30
SL0008503,S00001098,6,35
SL0008504,S00001098,7,45
SL0008505,S00001098,8,45
SL0008506,S00001098,9,45
SL0008507,S00001098,10,20
SL0008508,S00001099,1,45
SL0008509,S00001099,2,35
SL0008510,S00001099,3,35
SL0008511,S00001099,4,20
